paper_id,title,doi,journal_id,publication_date,publication_year,volume,issue,abstract,keywords,pdf_url,citation_count
11,Learning Knowledge Enhanced Text-image Feature Selection Network for Chest X-ray Image Classification,10.1007/s11633-024-1530-4,1,2025-08-19,2025,Volume 22,Issue 5,"Medical image classification, particularly for chest X-rays, plays a crucial role in computer-aided diagnosis. This paper proposes a knowledge-enhanced text-image feature selection network for chest X-ray image classification. The method integrates textual medical knowledge with visual features extracted from X-ray images to improve classification accuracy. By learning to select discriminative features from both modalities, the network achieves enhanced performance in identifying various chest pathologies and diseases.","Chest X-ray, medical image classification, multimodal learning, feature selection, knowledge enhancement",https://link.springer.com/article/10.1007/s11633-024-1530-4,0
12,LiDAR-camera Cooperative Semantic Segmentation,10.1007/s11633-024-1508-2,1,2025-02-21,2025,Volume 22,Issue 5,"LiDAR and cameras are two prominent sources for parsing the semantics of the scene. While the former provides accurate physical measurements of geometry, the latter offers dense textural information from the surrounding environment. To leverage the advantages of both modalities, this research proposes a unified workflow for LiDAR and camera semantic segmentation. By utilizing cross-view cooperation paths, we achieve cross-view feature interactions and missing modality completions. The pre-synchronisation mechanism preserves the alignment semantics and geometry while decoupling the processing of multimodal data augmentation. Notably, our workflow jointly performs LiDAR-based 3D semantic segmentation and image-based 2D semantic segmentation with promising results.","LiDAR, camera, semantic segmentation, multimodal fusion, cross-view cooperation",https://link.springer.com/article/10.1007/s11633-024-1508-2,0
13,Weighted Bonferroni mean-based classifiers with factorization machines for binary classification,10.1177/1088467X241301694,2,2024-12-25,2024,Volume 29,Issue 5,"Feature interaction plays a very significant role in binary classification. In this paper, we study binary classification with weighted feature interactions by means of weighted Bonferroni mean (WBM) operators. After analyzing the characteristics of interactions in the (dependently weighted) Bonferroni mean (BM) operators, the quadratic-polynomial (POLY2)-based classifier, and the factorization-machine (FM)-based classifier, we introduce the WBM operators to capture the independent importance of weighted feature interactions among input arguments. These operators are a general generalization of the existing BM operators and the crossover parts of the POLY2-based and FM-based classifiers. Then, the WBM-based classifiers and their special cases, namely the WBM-based classifiers based on the factorization machines (abbreiated as FM_WBM-based classifiers), are constructed to handle the (in)dependent importance of weighted feature interactions. Extensive experimental results on the synthetic datasets and four UCI machine-learning datasets verify the effectiveness of these proposed classifiers.","Aggregation operator, weighted feature interactions, weighted Bonferroni mean operators, factorization machines, binary classification",https://journals.sagepub.com/doi/abs/10.1177/1088467X241301694,0
14,Imbalanced data prediction model based on self-attention mechanism and generative adversarial network,10.1177/1088467X241301698,2,2025-01-22,2025,Volume 29,Issue 5,"Imbalanced data distribution causes the traditional machine learning classification algorithms to be affected by the characteristics of the majority class, resulting in poor classification performance for the minority-class data. To improve the classification accuracy of minority classes in imbalanced data, this study has proposed a novel model—a generative adversarial network with self-attention mechanism oversampling based on a convolutional neural network (GAN-SAMOCNN). The self-attention mechanism (SAM) of this model focused on the correlations among data elements of the minority class. The degree of correlation was first obtained by calculating the attention scores, which enabled the effective extraction of the distribution characteristics of the data. Subsequently, a generative adversarial network (GAN) was used to generate samples with high similarity to reduce data imbalances. Finally, a CNN classification model was constructed to train and predict the samples. The experimental results showed that the F1-score, G-mean, and area under PRC curve (AUPRC) of the model were considerably better than those of the other imbalanced data classification methods. The proposed method was then validated using multiple independent test datasets to demonstrate the model’s generalizability and robustness.","imbalance, generative adversarial network, self-attention mechanism, convolutional neural network",https://journals.sagepub.com/doi/abs/10.1177/1088467X241301698,0
15,Multi-task intent recommendation based on dynamic and static intent integration and disentanglement,10.1177/1088467X241301915,2,2025-02-13,2025,Volume 29,Issue 5,"Recommender systems that mine users’ intentions to explore their potential interaction preferences have received increasing attention. However, the existing research on intent recommendation has some limitations. On one hand, the extant studies only consider users’ historical interaction information and the sparse interactions cannot reflect users’ potential interaction intention; on the other hand, they do not consider the changes in users’ kinematic and static intentions over time and the importance of users’ intention disentanglement representation, which makes it impossible for the general intention recommendation model to obtain a better representation of the intention. We propose a multitask recommendation model with dynamic and static intent integration and de-entanglement. The model mines users’ dynamic and static intents and then combines them with regularization to model the independence of the intents, encouraging the differences between the intents. Meanwhile, to further alleviate the data sparsity problem, this study additionally constructs user–user and item–item graphs using four different similarity measures, such as cosine similarity and mutual information, applies graph convolutional networks to learn about the three graphs, and then captures the complementarity between different graphs using a graph-level cross-attention mechanism. Extensive comparative experiments and ablation studies on three public datasets demonstrate that DSI-ID consistently outperforms all baseline methods, achieving a 3.5%–7.4% improvement in recommendation performance over the best baseline","Intent recommendation, multi-task learning, dynamic intent, static intent, disentanglement",https://journals.sagepub.com/doi/abs/10.1177/1088467X241301915,0
16,VLinear: Enhanced linear complexity time series forecasting model,10.1177/1088467X241303376,2,2024-12-25,2024,Volume 29,Issue 5,"This study presents a novel time series prediction model(VLinear), designed with linear computational complexity, demonstrating superior predictive performance compared to DLiner without increasing parameter count or computational demands. Our model introduces two key innovations: first, a Feature Pyramid Network (FPN) is employed to effectively capture time series data characteristics, bypassing the traditional decomposition into trend and seasonal components. Second, a multi-layer fusion structure is developed to integrate deep and shallow features seamlessly. Empirically, VLinear outperforms DLiner in 31 out of 32 test cases on eight open-source datasets, with an average reduction of 16.8% in mean squared error (MSE) and 11.8% in mean absolute error (MAE). Additionally, compared to the transformer-based PatchTST, VLinear achieves 10 best MSE and 15 best MAE results, using only 8% of PatchTST’s total computational load in the 32 test projects.","Long term time series prediction, FPN, feature fusion, MLP",https://journals.sagepub.com/doi/abs/10.1177/1088467X241303376,0
17,Some novel probabilistic dual hesitant fuzzy information measures and their applications to multi-attribute decision-making,10.1177/1088467X241308761,2,2025-04-28,2025,Volume 29,Issue 5,"Probabilistic dual hesitant fuzzy set (PDHFS), as an extension of dual hesitant fuzzy set (DHFS) and probabilistic hesitant fuzzy set (PHS), can better describe the uncertainty and fuzziness in the real world through membership degree (MD) and non-membership degree (NMD) and their respective probability information. Therefore, it can collect more comprehensive fuzzy information in decision-making issues, which makes PDHFS has a wide range of applications in practice. The distance, similarity and entropy measures (EMs) of PDHFSs were studied. Due to the particularity of PDHFS, the length of MD and NMD of two probabilistic dual hesitation fuzzy elements (PDHFEs) are often different. To define the distance measure more expediently, many current studies need to add fresh elements to ensure that the length of corresponding elements in MD and NMD are the same, which will destroy the original information of the elements. In order to overcome this disadvantage, this paper defined some novel PDHF distance measures without adding elements. Some novel PDHF similarity measures were defined through the complementary relationship between distance and similarity measures based on the newly proposed PDHF distance measures. The fuzziness of a given PDHFS can be measured by the similarity measure between it and its complement. Based on the property, some novel PDHF EMs were proposed. Finally, three numerical examples are given to illustrate the effectiveness and rationality of these novel information measures.","distance measure, similarity measure, entropy measure, multi-attribute decision-making, probabilistic dual hesitant fuzzy set",https://journals.sagepub.com/doi/abs/10.1177/1088467X241308761,0
18,Performance comparison: Cloud-based vs. open-source NER for English and Polish,10.1177/1088467X241305521,2,2025-01-22,2025,Volume 29,Issue 5,"Named Entity Recognition (NER) plays a vital role in Natural Language Processing (NLP) tasks, extracting valuable information from textual data. This study addresses a gap in NER research by comparing the effectiveness of cloudbased NER tools (Azure NER and Google Cloud NER) and a popular open-source tool (SpaCy) for recognizing named entities in both English and Polish text. Text data is imported into a PostgreSQL database and processed by each NER tool. The extracted entities and their labels are stored in a dedicated SQL Entity table, enabling performance evaluation across different languages and entity types. This research contributes to the field of NLP by investigating the suitability of cloud-based NER tools for multilingual tasks, particularly those involving Polish text, which presents unique linguistic challenges. By analyzing the performance of these NER approaches, the study provides valuable insights for selecting the most effective NER technique for specific NLP applications, especially when dealing with multilingual content.","Named entity recognition (NER), Azure, Google Cloud, SpaCy, English vs. Polish",https://journals.sagepub.com/doi/abs/10.1177/1088467X241305521,0
19,A novel HVAC fuzzy controller based on improved snake optimizer algorithm,10.1177/1088467X241303347,2,2025-01-19,2025,Volume 29,Issue 5,"Heating, ventilation, and air conditioning (HVAC) systems are characterized by time-varying, nonlinear, and parametric coupling, making it challenging to design their controllers. As a major source of energy consumption in buildings, the control schemes for HVAC systems need to be optimized to improve energy efficiency. To address the above issues, a fuzzy controller was designed to regulate the HVAC system, and an improved snake optimizer (ISO) was proposed to optimize the membership function of the fuzzy controller in this study. In the ISO algorithm, the parameter Threshold of the snake optimizer (SO) was dynamically adjusted, and the snake egg-hatching formula was improved. Benchmark function tests show that the convergence speed and optimization accuracy of ISO are superior to those of the established comparison algorithms. Furthermore, simulation experiments indicate that the ISO-optimized HVAC system has a temperature error of 0 and a humidity ratio error of less than 1.5% compared to competing methods. In addition, the ISO-optimized HVAC system achieves a 40.8% reduction in annual energy consumption.","Heating, ventilation and air conditioning systems, fuzzy controller, improved snake optimizer algorithm, energy consumption",https://journals.sagepub.com/doi/abs/10.1177/1088467X241303347,0
20,Exploring data augmentation techniques for advancing emotion recognition in text – An ANOVA-RFE fusion approach with emotion fusion ensemble,10.1177/1088467X251325354,2,2025-03-25,2025,Volume 29,Issue 5,"Emotion recognition in text is a complex challenge essential for enhancing human-computer interaction. This study introduces an advanced system utilizing the EmoBank dataset, which contains text annotated with six basic emotions from diverse sources like social media, narratives, news articles, and movie scripts, ensuring accurate labeling through automated algorithms and manual annotation. Extensive preprocessing techniques, including tokenization, lowercasing, stop words removal, stemming, lemmatization, punctuation removal, handling special characters and numbers, text normalization, and encoding, prepare the text for analysis. Data augmentation methods such as random insertion, deletion, swapping, synonym replacement, and leveraging Large Language Models (LLMs) like GPT-3, BERT, and RoBERTa enrich the dataset. Feature extraction combines word embeddings with self-attention mechanisms to capture contextual and semantic information. The ANOVA-RFE Fusion technique is applied for feature selection, while the Emotion Fusion Ensemble (EFE) method enhances classification by combining Random Forest, Gradient Boosting, AdaBoost, XGBoost, Extra Trees, SVM, and K-NN. Systematic experimentation and hyperparameter tuning using grid search validate the system’s performance. Notably, the combination of GPT-3+WE+ANOVA-RFE+EFE achieved 89% accuracy before tuning and 94% after tuning. This research underscores the critical role of integrated processing, augmentation, and ensemble learning in advancing emotion recognition, suggesting future exploration of emerging language models, novel augmentation techniques, and domain specific adaptations for developing more accurate and robust systems.","Emobank dataset, data augmentation, feature extraction, feature selection, multiclass classification",https://journals.sagepub.com/doi/abs/10.1177/1088467X251325354,0
21,Bilingual generated text detection through semantic and statistical analysis,10.1177/1088467X241307192,2,2025-01-22,2025,Volume 29,Issue 5,"The release of Large Language Models (LLMs) has achieved human-level text generation, leading to malicious uses such as disinformation propagation and academic dishonesty. Existing research has faced substantial challenges in low detection rates and poor generalization on multilingual generated text and short text. To fill these gaps, in this paper, we propose a generic bilingual generated text detection model to integrate semantic and statistical features, which exhibits proficiency in English and Chinese. To obtain fine-grained features, we employ the multilingual pre-trained language model xlm-RoBERTa to extract the CLS vector as overall semantic features, integrating with statistical features log rank, probability, and cumulative probability for detection. Moreover, Shapley additive explanations (SHAP) serves to interpret the decision-making process. The experimental results demonstrate significant advancements over baselines, notably with the F1 score improvements exceeding 10% and 5% on the English and Chinese HC3 sentence-level datasets, respectively. Our proposed method exhibits higher generalization for advanced LLMs and out-of-domain datasets with a 91.13% F1 score, thereby providing a more robust solution for detecting generated text.","bilingual generated text detection, CLS vector, statistical features, pre-trained language model, shapley additive explanations",https://journals.sagepub.com/doi/abs/10.1177/1088467X241307192,0
22,Dual-prompt complementary fusion network for RGBT tracking,10.1177/1088467X241308764,2,2025-01-26,2025,Volume 29,Issue 5,"RGBT target tracking is a significant downstream task in the field of object tracking. However, compared to visible light target tracking, RGBT target tracking faces the challenge of smaller datasets, making it difficult to achieve performance levels comparable to those achieved in visible light target tracking. To address how to effectively combine the complementary characteristics of visible and thermal modalities, as well as how to fully leverage the superior performance of models trained on visible light target tracking tasks, while also aiming for lower computational costs and higher tracking effectiveness, a dual-prompt complementary fusion strategy for an RGBT tracking network is proposed. Drawing on the concept of prompt learning, this network aims to extend the efficient performance of visible light target tracking to the RGBT target tracking domain. In its implementation, the prompt module inputs both visible and thermal modality information as dual prompts into the backbone network, where the network utilizes these prompts to generate new, enriched prompt information at each layer. Subsequently, an information enhancement fusion module enhances the acquired prompt information and refeeds it into the backbone network, aiming to improve the tracking accuracy and robustness. Experimental results on GTOT, RGBT234 and LasHeR datasets show that the tracking accuracy (PR) and success rate (SR) of the network reach 93.1%/76.8%, 84.4%/62.4% and 66.8%/53.8%, respectively, which is improved compared with the current mainstream RGBT target tracking network, which verifies the effectiveness of the network.","RGBT target tracking, prompt learning, transformer",https://journals.sagepub.com/doi/abs/10.1177/1088467X241308764,0
23,GPT-based lifelong learning and ANFIS-driven reply memory ratio prediction for aspect-based sentiment analysis,10.1007/s40747-025-02086-2,3,2025-10-10,2025,Volume 11,Issue 11,"GPT is among the most powerful large language models (LLMs), known for its versatility and strong performance across a wide range of tasks. However, its substantial computational demands and limited cross-domain generalization present challenges, particularly in resource-sensitive applications like Aspect-Based Sentiment Analysis (ABSA). Existing ABSA models are typically domain-specific and suffer from catastrophic forgetting—losing previously acquired knowledge when sequentially trained on new domains—resulting in poor scalability and knowledge retention. To address these issues, we proposed a novel framework that integrates GPT-2 with a replay-based lifelong learning mechanism to support incremental, multi-domain ABSA while mitigating forgetting. The model is sequentially fine-tuned using real-data replay across four diverse ABSA domains: Laptops, Restaurants, Tweets, and Finance. Experimental results show that proposed model achieves an average accuracy of 0.85 and a Backward Transfer (BWT) score of -0.09, significantly outperforming the baseline model without lifelong learning (accuracy of 0.70, BWT of -0.64). We further conducted a t-test to validate the statistical significance of the improvements. we design an ANFIS-based model trained on experimental results to predict the proper memory ratio for new datasets, enabling more effective and adaptive lifelong learning in GPT-based architectures. In addition, we applied a multi-level data augmentation pipeline, which significantly improved performance across domains (p = 0.0049), enhancing both retention and generalization under constrained memory. Additionally, we introduced a domain sequence permutation study to test robustness against task-order sensitivity, while another part evaluates generalization under a simulated fifth domain constructed from a mixture of all original domains. These components validate the model’s scalability and ability to generalize beyond trained distributions. An ablation study was conducted to isolate the contributions of each module, including replay, ANFIS prediction, and data augmentation. The results demonstrate that removing any single component leads to a measurable drop in performance, confirming that each part of the framework contributes meaningfully to overall effectiveness. A post-hoc comparison with a distillation-based lifelong learning baseline was conducted, showing improved performance of our replay + ANFIS approach. We acknowledge that additional comparisons with advanced baselines such as GEM or A-GEM are needed to further strengthen this claim, which we leave for future work. Overall, this study demonstrates the effectiveness of combining GPT-2 with replay-based lifelong learning and adaptive memory control, offering a scalable and robust solution for continuous, multi-domain sentiment analysis. Our proposed model provides a practical foundation for future research in dynamic, cross-domain ABSA systems.","Aspect-Based sentiment analysis, GPT, Lifelong learning, ANFIS, Data augmentation, Replay memory ratio prediction",https://link.springer.com/article/10.1007/s40747-025-02086-2,0
24,A hybrid feature-based heterogeneous graph transformer method for cheating official account mining,10.1007/s40747-025-02075-5,3,2025-10-07,2025,Volume 11,Issue 11,"As cheating official accounts (COAs) in social media has posed a significant threat to society, how to detect COAs has attracted increasing attention worldwide. However, mining COAs is challenging because the COAs are always much fewer than normal accounts and will conceal themselves by mimicking normal accounts. Therefore, we propose a novel hybrid heterogeneous graph transformer (HHGT) method with both content and topology features to mine COAs more accurately, with two main contributions. First, we tackle the COA mining problem for the first time with a real-world dataset established from the WeChat platform, where the data analysis reveals that not only the node content feature but also the node topology feature can be useful for COA mining. Second, we propose the HHGT by learning both node content and topology features to exhibit superior generalization and representation capabilities for COA mining. We benchmark the HHGT and study its performance and feature effectiveness on the real WeChat dataset, providing helpful insights for COA mining. Experimental results show that the proposed HHGT performs better than all compared methods on unseen data, and can provide support for the analysis of the relationship among official accounts.  ","Data mining, Black industry chain, Graph Neural Network, Multimodal data",https://link.springer.com/article/10.1007/s40747-025-02075-5,0
25,Online social platform competition and rumor control in disaster scenarios: a zero-sum differential game approach with approximate dynamic programming,10.1007/s40747-025-02103-4,3,2025-09-16,2025,Volume 11,Issue 11,"In the digital era, the widespread dissemination of rumors on online social networks (OSNs) has emerged as a formidable challenge. Driven by the pursuit of user engagement, competitive social platforms often overlook effective rumor control mechanisms, exacerbating information disorders. A framework for modeling platform-wide competition during short-term but explosive information transmission scenarios is proposed in this paper. We first introduce a novel dynamic susceptible, exposed, infected, labeled, and recovered (SEILR) model, which is meticulously designed to capture the intricate dynamics of information transmission across multilayer networks. Second, we formulate a zero-sum differential game framework to analyze the strategic interactions among competing platforms. By integrating critical cost factors, including user losses, potential government sanctions, and social management expenses, our framework provides a comprehensive understanding of the economic implications of rumor control. Third, to address the complexity of deriving optimal strategies within the proposed framework, we innovatively combine iterative approximate dynamic programming (ADP) with neural networks. Leveraging the approximation capabilities of the neural networks, we enhance the efficiency and accuracy of the ADP process. Through extensive numerical simulations conducted in a duopoly market setting, we validate the efficacy of our proposed strategies. The results demonstrate their remarkable cost efficiency and superior rumor management capabilities relative to those of the existing approaches.","Platform competition, Rumor control, Zero-sum differential game, Multilayer network, SEILR model",https://link.springer.com/article/10.1007/s40747-025-02103-4,0
26,SMALLM: a local small model augmented a cloud-based large language model for chinese named entity recognition in low-resource industries,10.1007/s40747-025-02074-6,3,2025-09-16,2025,Volume 11,Issue 11,"Although the cloud-based commercial Large Language Models (LLMs) have achieved state-of-the-art (SOTA) performances and cutting-edge zero-shot learning abilities on a variety of Natural Language Processing (NLP) tasks, their performance on Named Entity Recognition (NER) is still significantly below supervised baselines. While NER in the universal domain has achieved remarkable success, NER in specialized industries continues to face challenges due to the scarcity of data and computational resource. To address these issues, this study proposes ""SMALLM"", a novel NER framework that integrates a local BERT-based model to augment the performance of the state-of-the-art LLM, ChatGPT, in an end-to-end manner. By leveraging both the strengths of the small model and the LLM, SMALLM acts as a domain expert through few-shot learning. SMALLM updates only hundreds of thousands of parameters in the local BERT-based model with minimal training data. This significantly reduces computational demands, enables fast training and minimizes reliance on data. Additionally, our framework provides a solution to the constraints posed by closed-source LLMs like ChatGPT converting their responses into one-hot vectors for subsequent optimization and integration. Through experiments on three industrial Chinese NER (CNER) datasets—Construction, CCKS2019- Military, and CCKS2020-Clinic—SMALLM enhances the performance of ChatGPT, achieving improvements of 28.80%, 13.48%, and 48.37%, respectively. Additionally, SMALLM consistently surpasses mainstream models in low-resource settings.  ","Chinese named entity recognition, Large Language Model, Low-resource",https://link.springer.com/article/10.1007/s40747-025-02074-6,0
